farm,cycle,cage,date_operational,temperature,temp_qualy
farm 38,cycle 171,cage 8352,2019-08-26,NA,FALSE
farm 38,cycle 171,cage 8352,2019-08-27,NA,FALSE
farm 38,cycle 171,cage 8352,2019-08-28,NA,FALSE
farm 38,cycle 171,cage 8352,2019-08-29,NA,FALSE
farm 38,cycle 171,cage 8352,2019-08-30,NA,FALSE
farm 38,cycle 171,cage 8352,2019-08-31,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-01,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-02,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-03,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-04,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-05,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-06,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-07,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-08,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-09,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-10,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-11,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-12,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-13,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-14,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-15,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-16,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-17,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-18,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-19,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-20,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-21,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-22,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-23,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-24,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-25,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-26,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-27,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-28,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-29,NA,FALSE
farm 38,cycle 171,cage 8352,2019-09-30,NA,FALSE
farm 38,cycle 171,cage 8352,2019-10-01,NA,FALSE
farm 38,cycle 171,cage 8352,2019-10-02,NA,FALSE
farm 38,cycle 171,cage 8352,2019-10-03,NA,FALSE
farm 38,cycle 171,cage 8352,2019-10-04,NA,FALSE
farm 38,cycle 171,cage 8352,2019-10-05,NA,FALSE
farm 38,cycle 171,cage 8352,2019-10-06,NA,FALSE
farm 38,cycle 171,cage 8352,2019-10-07,NA,FALSE
farm 38,cycle 171,cage 8352,2019-10-08,NA,FALSE
farm 38,cycle 171,cage 8352,2019-10-09,NA,FALSE
farm 38,cycle 171,cage 8352,2019-10-10,NA,FALSE
farm 38,cycle 171,cage 3420,2019-08-01,NA,FALSE
farm 38,cycle 171,cage 3420,2019-08-02,NA,FALSE
farm 38,cycle 171,cage 3420,2019-08-03,NA,FALSE
farm 38,cycle 171,cage 3420,2019-08-04,NA,FALSE
farm 38,cycle 171,cage 3420,2019-08-05,NA,FALSE
farm 38,cycle 171,cage 3420,2019-08-06,NA,FALSE
farm 38,cycle 171,cage 3420,2019-08-07,NA,FALSE
farm 38,cycle 171,cage 3420,2019-08-08,NA,FALSE
farm 38,cycle 171,cage 3420,2019-08-09,NA,FALSE
farm 38,cycle 171,cage 3420,2019-08-10,NA,FALSE
farm 38,cycle 171,cage 3420,2019-08-11,NA,FALSE
farm 38,cycle 171,cage 3420,2019-08-12,NA,FALSE
farm 38,cycle 171,cage 3420,2019-08-13,NA,FALSE
farm 38,cycle 171,cage 3420,2019-08-14,NA,FALSE
farm 38,cycle 171,cage 3420,2019-08-15,NA,FALSE
farm 38,cycle 171,cage 3420,2019-08-16,NA,FALSE
farm 38,cycle 171,cage 3420,2019-08-17,NA,FALSE
farm 38,cycle 171,cage 3420,2019-08-18,NA,FALSE
farm 38,cycle 171,cage 3420,2019-08-19,NA,FALSE
farm 38,cycle 171,cage 3420,2019-08-20,NA,FALSE
farm 38,cycle 171,cage 3420,2019-08-21,NA,FALSE
farm 38,cycle 171,cage 3420,2019-08-22,NA,FALSE
farm 38,cycle 171,cage 3420,2019-08-23,NA,FALSE
farm 38,cycle 171,cage 3420,2019-10-27,NA,FALSE
farm 38,cycle 171,cage 3420,2019-10-28,NA,FALSE
farm 38,cycle 171,cage 3420,2019-10-29,NA,FALSE
farm 38,cycle 171,cage 3420,2019-10-30,NA,FALSE
farm 38,cycle 171,cage 3420,2019-10-31,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-02,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-03,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-04,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-05,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-06,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-07,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-08,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-09,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-10,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-11,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-12,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-13,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-14,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-15,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-16,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-17,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-18,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-19,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-20,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-21,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-22,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-23,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-24,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-25,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-26,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-27,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-28,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-29,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-30,NA,FALSE
farm 38,cycle 171,cage 2719,2019-10-31,NA,FALSE
farm 38,cycle 171,cage 7139,2019-08-01,NA,FALSE
farm 38,cycle 171,cage 7139,2019-08-02,NA,FALSE
